"rmax", "topt", "ctmin", "ctmax", "e", "eh", "q10", "thermal_safety_margin", "thermal_tolerance", "breadth", "skewness", "tAdaptation", "line", "mediumConcentration", "r_tref", "e_from_fit", "eh_from_fit", "th", "r_tadapt", "r_tref_0025", "r_tref_0975", "e_from_fit_0025", "e_from_fit_0975", "sd_e_from_fit", "sd_r_tref"
1.57, 27.67, -9.64, 45.25, 0.4, 10.93, NA, 17.59, 54.9, 9.83, -10.54, "15", "all", 50, 1.10582642129266, 0.593995987271456, 2.70783691082263, 31.3696630800086, 0.733345502362543, 0.824373180080634, 1.57805716264461, 0.188902892194639, 1.23838775707738, 0.26481333524046, 0.201576539356068
3.32, 28.56, 3.52, 32.51, 0.87, 10.82, 3.19, 3.96, 28.99, 3.89, -9.95, "15", "all", 100, 1.33141923467957, 0.882896020216573, 12.1055443044836, 30.2121349498099, 0.726133557537774, 0.765487959165989, 1.94253083742371, 0.409442030151217, 2.07460508807015, 0.401198980936061, 0.309901892506537
1.78, 29.13, -5.64, 31.78, 0.61, 9.94, 2.27, 2.65, 37.42, 4.49, -9.33, "15", "all", 200, 0.883816793095474, 0.610233785363739, 20, 30.5000916733332, 0.58126957501763, 0.656760184994786, 1.1056383624002, 0.32094919317558, 0.99284008448463, 0.170476966975933, 0.112267808644094
2.45, 35.01, 7.75, 37.66, 0.84, NA, 3.03, 2.65, 29.91, 3.76, NA, "20", "all", 50, 0.50794105280707, 0.837821534487045, 20, 36.2950332031258, 0.50794105280707, 0.33501305977036, 0.695665295837944, 0.542903808245087, 1.44829335042514, 0.229548942638534, 0.0950187459920767
1.94, 29.23, 4.41, 31.76, 0.89, 10.97, 3.28, 2.53, 27.36, 3.38, -10.08, "20", "all", 100, 0.693673705341586, 0.889853938164461, 20, 30.4446546313839, 0.693673705340549, 0.576471873286766, 0.820321877512335, 0.679591705408934, 1.13197600560838, 0.115752588454251, 0.0616818974064996
3.27, 34.99, 8.17, 37.64, 0.85, NA, 3.08, 2.65, 29.47, 3.71, NA, "20", "all", 200, 0.661082420957935, 0.852465301958739, 20, 36.268001918325, 0.661082420957935, 0.443854525459115, 0.893379946796755, 0.575016527084111, 1.33699913314412, 0.195571341681798, 0.112625982704365
0.77, 28.77, -7.18, 31.42, 0.58, 9.34, 2.18, 2.65, 38.6, 4.45, -8.76, "25", "all", 50, 0.40672471008221, 0.583590255124144, 20, 30.1548274706081, 0.599102967057388, 0.296562830161432, 0.502209479139719, 0.262492821133234, 0.990272097096543, 0.186395800044469, 0.0525249846362995
1.64, 28.9, 1.06, 31.46, 0.78, 10.81, 2.85, 2.56, 30.4, 3.71, -10.03, "25", "all", 100, 0.685214864645891, 0.782297825886763, 20, 30.1611000851608, 1.15159285593098, 0.545058093802454, 0.862363145100349, 0.482663776682472, 1.10879123987561, 0.159153469425086, 0.0820685740315913
1.58, 34.39, -23.27, 37.33, 0.35, NA, 1.58, 2.94, 60.6, 6.79, NA, "25", "all", 200, 0.847968841906721, 0.346218864035631, 20, 36.0456430148909, 1.06700557244536, 0.718138810332842, 0.981833312342074, 0.194682487334526, 0.594586247084848, 0.103324895758134, 0.0694582215805726
0, 40, 3.79, Inf, 1, NA, 2.77, Inf, Inf, 27.5, NA, "control", "all", 50, 0.0549551186230187, 10, 9.9490721154792, 5.58421916704214, NA, NA, NA, NA, NA, NA, NA
0, 12.5, 7.95, 17.13, NA, -0.28, NA, 4.63, 9.18, 0.36, NA, "control", "all", 100, 0.0613584651920774, 10, 14.6697608195156, 10.805873476596, NA, NA, NA, NA, NA, NA, NA
0, 12.5, -Inf, 32.99, NA, 1, NA, 20.49, Inf, 17.49, NA, "control", "all", 200, 3.38911912018348e-12, 0, 11.5484747244045, 30.94037168473, NA, 3.38911912018348e-12, 0.00652042551888618, 0, 5.90808706054875, 1.54283300220001, 0.00177822570412332
