position,sample,stable.control,stable.temp,duration,start,end,density
A1,50_20_A,30,30,230,30,260,8000
A2,100_20_A,30,30,230,30,260,8000
A3,200_20_A,30,30,230,30,260,8000
A4,50_25_A,30,30,230,30,260,12000
A5,100_25_A,30,30,230,30,260,8000
A6,200_25_A,30,30,230,30,260,8000
B1,50_20_B,30,30,230,30,260,10000
B2,100_20_B,30,30,230,30,260,8000
B3,200_20_B,30,30,230,30,260,8000
B4,50_25_B,30,30,230,30,260,13500
B5,100_25_B,30,30,230,30,260,8000
B6,200_25_B,30,30,230,30,260,8000
C1,50_20_C,30,30,230,30,260,5000
C2,100_20_C,30,30,230,30,260,8000
C3,200_20_C,30,30,230,30,260,4000
C4,50_25_C,30,30,230,30,260,8000
C5,100_25_C,30,30,230,30,260,8000
C6,200_25_C,30,30,230,30,260,8000
D1,50_20_D,30,30,160,100,260,4000
D2,100_20_D,30,30,230,30,260,8000
D3,200_20_D,30,30,230,30,260,12000
D4,50_25_D,30,30,230,30,260,8000
D5,100_25_D,30,30,230,30,260,8000
D6,200_25_D,30,30,230,30,260,8000
