"rmax", "topt", "ctmin", "ctmax", "e", "eh", "q10", "thermal_safety_margin", "thermal_tolerance", "breadth", "skewness", "tAdaptation", "line", "mediumConcentration", "r_tref", "e_from_fit", "eh_from_fit", "th", "r_tref_0025", "r_tref_0975", "e_from_fit_0025", "e_from_fit_0975", "sd_e_from_fit", "sd_r_tref"
0.1, 28.52, -11.65, 31.21, 0.51, NA, 2, 2.69, 42.86, 4.82, NA, 15, "d", 50, 0.0604157191670001, 0.511473921587795, 20, 29.953989014534, 0.0400103063988769, 0.0773593982584885, 0.107433484800369, 0.99608931457317, 0.231028818776679, 0.0095547119714438
0.06, 22.27, -15.96, 45.61, 0.74, 0.57, 2.78, 23.34, 61.57, 11.45, 0.18, 15, "c", 50, 0.0707596647040875, 0.568714047392086, 2.05519220785011, 25.8311279359645, 0.0707596647040875, 0.0707596647040875, 0.158141801918099, 0.895930130433659, 0.198885388523338, 0
0.11, 24.65, -5.31, 35.73, 0.51, 1.53, 2.02, 11.08, 41.04, 6.96, -1.02, 15, "b", 50, 0.0864374915389622, 0.732952583663912, 4.09792590779618, 27.5167376510464, 0.0741898189849155, 0.10482479253537, 0.35961355690476, 1.1842985794238, 0.220643270551924, 0.00804126263455767
0.13, 27, 0.7, 32.35, 0.86, 2.89, 3.2, 5.35, 31.64, 4.7, -2.03, 15, "a", 50, 0.0674850241178481, 0.837784781978272, 8.69798633524683, 29.0086323152894, 0.0563132230407247, 0.0776145270236392, 0.612899028569517, 1.2416902130612, 0.158808450095785, 0.00552006300627051
0.13, 29.08, -2.96, 37.26, 0.65, NA, 2.37, 8.18, 40.22, 6.31, NA, 15, "d", 100, 0.0667810577169904, 0.687425054218928, 5.72844778360138, 31.8453403938707, 0.0518559752655174, 0.080762643117888, 0.407861643867052, 1.21651216431289, 0.198785756984124, 0.00752608886777621
0.2, 34.67, 8.17, 37.3, 0.86, NA, 3.08, 2.63, 29.13, 3.49, NA, 15, "c", 100, 0.0409358223057654, 0.857107265928013, 20, 35.9449928560641, 0.0287074782692522, 0.0516875228526766, 0.613753569472435, 1.25987920098175, 0.164423163291897, 0.0059326184262209
0.12, 28.2, 5.88, 39.03, 0.85, NA, 3.07, 10.83, 33.15, 5.92, NA, 15, "b", 100, 0.0508568097551898, 1.06442355700008, 4.35864328441438, 30.2472344234289, 0.0402906001245031, 0.0635906444543685, 0.667266999386856, 1.68898880813085, 0.259564202078562, 0.0060302046112342
0.21, 34.51, 14.34, 37.05, 1.16, NA, NA, 2.54, 22.7, 2.84, NA, 15, "a", 100, 0.026250402766759, 1.15539977667688, 20, 35.6495536249729, 0.0168849476858247, 0.0335130626976484, 0.949091373902533, 1.6087828375126, 0.174977986118279, 0.00415206491160217
0.07, 34.39, -Inf, 37.61, 0.17, NA, 1.25, 3.22, Inf, 12.45, NA, 15, "d", 200, 0.0511061684199456, 0.165849915468929, 20, 36.3555667228087, 0.033019768077076, 0.0648508918370458, 0, 0.720890604479898, 0.191583109731485, 0.00812677548845788
0.08, 34.48, -Inf, 37.58, 0.22, NA, 1.35, 3.1, Inf, 9.68, NA, 15, "c", 200, 0.0547506817972605, 0.223516620819932, 20, 36.319515760719, 0.0406237725687981, 0.0671451873711662, 0, 0.606523848164008, 0.151190303381693, 0.00662832674277242
0.14, 28.03, -7.53, 38.2, 0.53, NA, 2.03, 10.18, 45.73, 7.41, NA, 15, "b", 200, 0.0879075843409084, 0.609681309951465, 4.57867953705937, 31.2594003347238, 0.0754376516127879, 0.0996587607445708, 0.38977193203749, 0.923868452748254, 0.139434927780249, 0.00603181333921345
0.14, 27.56, -4.89, 35.56, 0.58, NA, 2.18, 8.01, 40.45, 6.22, NA, 15, "a", 200, 0.0841996379059277, 0.668265295025643, 5.79954037485328, 30.3215642486486, 0.0730037027846124, 0.0956405887193208, 0.470496499548968, 1.06325695887114, 0.144651939755746, 0.00566359091347526
0.11, 28.66, -6.08, 31.3, 0.61, NA, 2.26, 2.64, 37.38, 4.28, NA, 20, "d", 50, 0.0577829668302301, 0.605688984867478, 20, 30.031489011944, 0.0368014956764862, 0.0754550881728299, 0.191865960170216, 1.22197967792241, 0.255809093685723, 0.010204285396794
