current_date,starting_date,name,current_count,starting_count,previous_count,cultured_at_start_ml,volume_at_start_ml,culture_time_days,growth_rate_gen_per_day
2021-01-15,NA,20_100_1,3000,NA,NA,NA,NA,NA,
2021-01-19,2021-01-15,20_100_1,9500,115.3846154,3000,1,26,4.0000,1.5909
2021-01-22,2021-01-19,20_100_1,10500,365.3846154,9500,1,26,3.0000,1.6149
2021-01-26,2021-01-22,20_100_1,30000,205.8823529,10500,0.5,25.5,4.0000,1.7967
2021-01-29,2021-01-26,20_100_1,19657,119.5219124,30000,0.1,25.1,3.0000,2.4539
2021-02-02,2021-01-29,20_100_1,38276,233.0869565,19657,0.3,25.3,4.0000,1.8399
2021-02-05,2021-02-02,20_100_1,14559,453.8656126,38276,0.3,25.3,3.0000,1.6678
2021-02-09,2021-02-05,20_100_1,58000,58.00398406,14559,0.1,25.1,4.0000,2.4914
2021-02-12,2021-02-09,20_100_1,195000,231.0756972,58000,0.1,25.1,3.0000,3.2403
2021-02-15,2021-02-12,20_100_1,185000,776.8924303,195000,0.1,25.1,3.0000,2.6319
2021-02-17,2021-02-15,20_100_1,150000,1103.379722,185000,0.15,25.15,2.0000,3.5434
2021-02-19,2021-02-17,20_100_1,4600,1485.148515,150000,0.25,25.25,2.0000,0.8155
2021-02-22,2021-02-19,20_100_1,42000,45.54455446,4600,0.25,25.25,3.0000,3.2830
2021-02-24,2021-02-22,20_100_1,43000,7000,42000,5,30,2.0000,1.3095
2021-02-26,2021-02-24,20_100_1,32500,3909.090909,43000,2.5,27.5,2.0000,1.5278
2021-03-01,2021-02-26,20_100_1,80300,2954.545455,32500,1.25,13.75,3.0000,1.5881
2021-03-03,2021-03-01,20_100_1,42500,3088.461538,80300,0.5,13,2.0000,1.8913
2021-03-05,2021-03-03,20_100_1,8333,833.3333333,42500,0.25,12.75,2.0000,1.6609
2021-03-08,2021-03-05,20_100_1,14600,66.13492063,8333,0.1,12.6,3.0000,2.5954
2021-03-10,2021-03-08,20_100_1,5000,115.8730159,14600,0.1,12.6,2.0000,2.7157
2021-03-12,2021-03-10,20_100_1,2500,39.68253968,5000,0.1,12.6,2.0000,2.9886
2021-01-15,NA,20_100_2,3000,NA,NA,NA,NA,NA,NA
2021-01-19,2021-01-15,20_100_2,16000,115.3846154,3000,1,26,4.0000,1.7789
2021-01-22,2021-01-19,20_100_2,9875,615.3846154,16000,1,26,3.0000,1.3347
2021-01-26,2021-01-22,20_100_2,45000,193.627451,9875,0.5,25.5,4.0000,1.9651
2021-01-29,2021-01-26,20_100_2,26458,179.2828685,45000,0.1,25.1,3.0000,2.4018
2021-02-02,2021-01-29,20_100_2,46021,313.7312253,26458,0.3,25.3,4.0000,1.7992
2021-02-05,2021-02-02,20_100_2,10656,545.7035573,46021,0.3,25.3,3.0000,1.4291
2021-02-09,2021-02-05,20_100_2,550000,42.45418327,10656,0.1,25.1,4.0000,3.4153
2021-02-12,2021-02-09,20_100_2,165000,2191.23506,550000,0.1,25.1,3.0000,2.0782
