Temperature_C,Concentration_solution,Growth_rate,density_per_ml
10,400,0,0
10,400,0,0
10,400,0,0
10,200,0.2813,5000
10,200,0.1828,2750
10,200,0.2445,4000
10,100,0.167,2500
10,100,0.2339,3750
10,100,0.1971,3000
10,50,0.2225,3500
10,50,0.167,2500
10,50,0.167,2500
10,25,0.0828,1500
10,25,0.1971,3000
10,25,0.2545,4250
10,12.5,0.1082,1750
10,12.5,0.1303,2000
10,12.5,0.1082,1750
10,6.25,0.1303,2000
10,6.25,0.0828,1500
10,6.25,0.1082,1750
10,3.125,-0.0315,750
10,3.125,0.0528,1250
10,3.125,0.0528,1250
10,0,0.0528,1250
10,0,0.016,1000
10,0,-0.0315,750
15,400,0,0
15,400,0,0
15,400,0,0
15,200,0.4128,9750
15,200,0.4599,12250
15,200,0.4377,11000
15,100,0.6849,36500
15,100,0.661,32500
15,100,0.4761,13250
15,50,0.5016,15000
15,50,0.4181,10000
15,50,0.3721,8000
15,25,0.304,5750
15,25,0.4377,11000
15,25,0.2417,4250
15,12.5,-0.0105,1250
15,12.5,0.1699,3000
15,12.5,0.2535,4500
15,6.25,0.1699,3000
15,6.25,0.2417,4250
15,6.25,0.1864,3250
15,3.125,-0.0565,1000
15,3.125,-0.1994,500
15,3.125,0.1106,2250
15,0,-0.3422,250
15,0,-0.3422,250
15,0,-0.0565,1000
20,400,0.5608,3750
20,400,0.3152,2250
20,400,0.492,3250
20,200,0.9683,8750
20,200,1.3348,18750
20,200,1.2275,15000
20,100,0.5608,3750
20,100,0.8065,6250
20,100,1.0325,10000
20,50,0.3152,2250
20,50,0.3659,2500
20,50,1.1398,12500
20,25,0.1202,1500
20,25,0.7226,5250
20,25,0.7869,6000
20,12.5,0.4117,2750
20,12.5,-0.7415,250
20,12.5,0.1943,1750
20,6.25,-0.4081,500
20,6.25,0.6992,5000
20,6.25,-0.4081,500
20,3.125,-0.4081,500
20,3.125,0.0325,1250
20,3.125,0.2585,2000
20,0,0.2585,2000
20,0,0.1202,1500
20,0,-0.0748,1000
25,400,0,0
25,400,0,0
25,400,0,0
25,200,2.4316,30750
25,200,2.1373,21000
25,200,2.1188,20500
25,100,2.6,38250
25,100,2.4061,29750
25,100,2.3312,27000
25,50,1.5649,10000
25,50,2.3593,28000
25,50,1.9513,16500
25,25,1.4165,8250
25,25,1.2898,7000
25,25,0.6361,3000
25,12.5,1.343,7500
25,12.5,1.2617,6750
25,12.5,0.4954,2500
25,6.25,0.569,2750
25,6.25,0.4141,2250
25,6.25,0.9048,4250
25,3.125,0.9048,4250
25,3.125,0.1013,1500
25,3.125,0.6361,3000
25,0,-0.7462,500
25,0,0.2203,1750
25,0,-0.4334,750
30,400,0,0
30,400,0,0
30,400,0,0
30,200,1.4852,5500
30,200,1.9138,9250
30,200,1.8441,8500
30,100,2.0752,11250
30,100,2.2701,14250
30,100,2.3783,16250
30,50,1.6541,6750
30,50,1.3198,4500
30,50,1.7409,7500
30,25,2.0377,10750
30,25,1.8195,8250
30,25,1.5219,5750
30,12.5,1.6541,6750
30,12.5,1.6541,6750
30,12.5,1.4469,5250
30,6.25,0.5412,1750
30,6.25,0.9138,2750
30,6.25,1.2727,4250
30,3.125,0.9855,3000
30,3.125,0.0798,1000
30,3.125,1.2227,4000
30,0,1.2227,4000
30,0,0.6513,2000
30,0,1.2227,4000
