adaptationTemperature,tt,treatment,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,Median,Skew,Kurt,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
15,normoxia15,normoxia,Tetrahymena4T1_15degrees_norm_known_frame_182.0.png:0386-1394,1516.529,83.66,11.232,85,40,106,1266.428,351.773,1266.668,351.744,157.671,1250,320.909,34.545,60,60.189,32.08,101.939,0.767,61.958,85,-0.727,0.515,1384,353,104.444,33.875,1.876,0.533,0.961
15,normoxia15,normoxia,Tetrahymena4T1_15degrees_norm_known_frame_182.0.png:0636-1605,1825.62,80.347,9.261,80,48,104,1459.287,577.604,1459.719,577.691,176.515,1436.364,548.182,46.364,60,68.48,33.943,119.86,0.736,70.383,81,-0.454,0.095,1585,604,125.538,34.743,2.017,0.496,0.962
15,normoxia15,normoxia,Tetrahymena4T1_15degrees_norm_known_frame_182.0.png:0495-0939,1502.479,89.414,10.381,93,57,120,853.622,448.905,853.634,449.058,157.58,835.455,420.909,37.273,59.091,60.032,31.866,68.503,0.76,61.825,89,-0.019,-0.551,930,528,70.233,34.151,1.884,0.531,0.951
15,normoxia15,normoxia,Tetrahymena4T1_15degrees_norm_known_frame_182.0.png:0720-0826,1168.595,91.395,9.139,85,64,117,752.062,654.349,752.31,654.381,143.438,722.727,640,57.273,29.091,56.419,26.372,168.85,0.714,58.479,91,-0.088,-0.568,795,715,168.341,27.34,2.139,0.467,0.954
15,normoxia15,normoxia,Tetrahymena4T1_15degrees_norm_known_frame_182.0.png:1307-0727,1861.157,68.448,6.915,72,46,88,661.073,1189.64,661.136,1189.581,177.489,627.273,1169.091,67.273,39.091,64.52,36.728,177.896,0.742,68.012,69,-0.226,-0.446,690,1305,171.545,38.805,1.757,0.569,0.942
15,normoxia15,normoxia,Tetrahymena4T1_15degrees_norm_known_frame_182.0.png:1252-0374,881.818,51.025,12.206,62,19,76,340.659,1138.989,340.339,1139.219,130.178,315.455,1122.727,49.091,30.909,53.867,20.843,22.554,0.654,52.892,52,-0.22,-0.974,347,1265,24.362,21.777,2.584,0.387,0.941
15,normoxia15,normoxia,Tetrahymena4T1_15degrees_norm_known_frame_362.0.png:0086-1478,1498.347,68.839,11.117,69,30,96,1343.169,78.138,1343.012,78.026,153.815,1315.455,60.909,57.273,34.545,56.849,33.559,1.871,0.796,57.453,69,-0.239,-0.036,1447,83,175.462,34.545,1.694,0.59,0.961
15,normoxia15,normoxia,Tetrahymena4T1_15degrees_norm_known_frame_362.0.png:0266-1621,2430.579,74.501,9.674,72,33,102,1475.013,241.743,1475.086,241.858,197.397,1446.364,210,55.455,64.545,72.673,42.584,54.756,0.784,75.109,75,-0.451,0.222,1594,298,51.882,45.128,1.707,0.586,0.964
15,normoxia15,normoxia,Tetrahymena4T1_15degrees_norm_known_frame_362.0.png:0296-1700,1285.124,70.431,9.388,72,42,96,1545.122,269.576,1545.341,269.348,150.307,1520.909,248.182,50,42.727,58.755,27.849,36.54,0.715,60.548,71,-0.187,-0.294,1676,320,41.348,29.166,2.11,0.474,0.949
15,normoxia15,normoxia,Tetrahymena4T1_15degrees_norm_known_frame_362.0.png:0348-1682,995.868,72.182,9.639,78,36,100,1528.78,316.286,1528.78,316.729,129.608,1516.364,291.818,25.455,50,51.521,24.611,83.565,0.745,51.826,74,-0.439,-0.204,1675,376,74.745,25.455,2.093,0.478,0.955
15,normoxia15,normoxia,Tetrahymena4T1_15degrees_norm_known_frame_362.0.png:0356-0899,1365.289,85.691,10.32,86,54,111,817.268,324.625,817.431,324.709,157.763,802.727,291.818,29.091,63.636,63.328,27.45,86.38,0.689,63.954,86,-0.146,-0.301,896,321,95.711,28.845,2.307,0.433,0.959
15,normoxia15,normoxia,Tetrahymena4T1_15degrees_norm_known_frame_362.0.png:0728-0962,965.289,85.187,15.526,103,43,117,874.858,662.077,874.708,661.896,131.555,859.091,638.182,31.818,47.273,53.559,22.947,115.11,0.701,53.482,87,-0.361,-0.709,947,703,121.799,23.474,2.334,0.428,0.954
15,normoxia15,normoxia,Tetrahymena4T1_15degrees_norm_known_frame_362.0.png:0833-1574,1679.339,78.64,9.477,77,49,104,1431.298,757.874,1431.457,757.874,163.255,1407.273,732.727,48.182,50,56.561,37.803,49.222,0.792,59.821,79,-0.2,-0.644,1553,859,53.653,40.068,1.496,0.668,0.947
15,normoxia15,normoxia,Tetrahymena4T1_15degrees_norm_known_frame_82.0.png:0793-0399,1415.702,70.326,8.779,69,39,94,363.687,721.195,363.646,721.159,155.671,337.273,698.182,50.909,46.364,60.445,29.821,138.324,0.734,62.191,71,-0.477,0.296,371,773,142.125,31.498,2.027,0.493,0.949
15,normoxia15,normoxia,Tetrahymena4T1_15degrees_norm_known_frame_82.0.png:0952-0678,1743.802,76.781,9.697,75,45,104,617.084,866.86,617.131,866.68,169.775,597.273,833.636,38.182,64.545,66.266,33.506,73.26,0.76,67.31,76,-0.037,-0.279,667,988,73.523,35.006,1.978,0.506,0.966
15,normoxia15,normoxia,Tetrahymena4T1_15degrees_norm_known_frame_82.0.png:0991-1523,1641.322,81.634,7.635,80,56,107,1384.862,900.374,1384.885,900.527,159.619,1362.727,874.545,44.545,53.636,60.34,34.634,58.705,0.81,60.807,82,-0.087,-0.176,1506,1019,58.449,35.071,1.742,0.574,0.962
15,normoxia15,normoxia,Tetrahymena4T2_15degrees_norm_known_frame_102.0.png:0722-0730,1416.529,78.417,12.163,77,45,114,663.631,656.425,662.984,656.23,152.217,634.545,640,58.182,33.636,60.422,29.85,162.525,0.768,61.234,78,0.068,-0.567,698,711,161.834,31.048,2.024,0.494,0.967
15,normoxia15,normoxia,Tetrahymena4T2_15degrees_norm_known_frame_182.0.png:0572-1042,1730.579,89.654,10.624,92,56,121,946.682,519.801,946.535,519.95,169.151,917.273,498.182,60.909,43.636,65.598,33.59,29.261,0.76,67.113,90,-0.269,-0.305,1011,592,28.301,34.557,1.953,0.512,0.96
