"rmax", "topt", "ctmin", "ctmax", "e", "eh", "q10", "thermal_safety_margin", "thermal_tolerance", "breadth", "skewness", "tAdaptation", "line", "mediumConcentration", "r_tref", "e_from_fit", "eh_from_fit", "th", "r_tadapt", "r_tref_0025", "r_tref_0975", "e_from_fit_0025", "e_from_fit_0975", "sd_e_from_fit", "sd_r_tref", "speed_quantile"
975.13, 29.19, -30.83, 48.13, 0.29, 0.65, NA, 18.94, 78.96, 13.4, -0.36, 15, "all", 50, 753.188560495453, 0.329829797469869, 2.54884347663282, 35.2023506379411, 599.817919275694, 741.791247177085, 764.682033426607, 0.309345952913271, 0.352346844970728, 0.0110323101431737, 5.64008687405451, 5
1056.22, 31.18, -Inf, 46.19, 0.23, 0.79, NA, 15.01, Inf, 13.97, -0.56, 15, "all", 100, 793.736071179151, 0.249703303791224, 3.35617906540457, 37.2975016733502, 668.625305691966, 780.229851959058, 805.123137706264, 0.230992278854617, 0.270585981697881, 0.00990607920331828, 6.33535212512497, 5
889.99, 30.18, -35.68, 45.58, 0.25, 1.06, NA, 15.41, 81.26, 12.97, -0.81, 15, "all", 200, 665.136840909348, 0.291513369261742, 3.19241825686596, 35.9923283521552, 544.383763132345, 654.929506319751, 677.334203551864, 0.263583808707334, 0.32008153552024, 0.013962469016372, 5.77023311433981, 5
804.23, 32.1, -28.13, 45.5, 0.29, 0.98, NA, 13.4, 73.62, 11.49, -0.69, 20, "all", 50, 525.718395332278, 0.330719569393526, 3.70003350164384, 37.2224183170774, 525.562793988627, 497.281679823917, 554.898652052219, 0.274208501276217, 0.400555953065917, 0.0322596902342876, 14.4853735822279, 5
890.33, 31.49, -32.05, 45.13, 0.29, 0.83, NA, 13.63, 77.18, 12.06, -0.54, 20, "all", 100, 614.422133916497, 0.307453676205382, 3.64371021005484, 36.8208448117411, 614.176650084543, 594.599612441258, 634.710071927904, 0.269192855662654, 0.349895643342803, 0.0205020472124314, 10.2898146421921, 5
784.54, 30.79, -30.17, 47.38, 0.28, 0.83, NA, 16.59, 77.55, 12.73, -0.55, 20, "all", 200, 558.524012126863, 0.325105002421529, 2.9447568285269, 36.5406336393057, 557.419701179237, 550.343376813103, 566.755795400053, 0.302510031472405, 0.349835072423223, 0.0118956753243983, 4.17269323211553, 5
950.1, 32.1, -Inf, 44.49, 0.23, 0.79, NA, 12.39, Inf, 13.44, -0.56, 25, "all", 50, 697.032153960625, 0.234319197021096, 4.17513796503725, 37.6253579126906, 813.200158165109, 679.044999095458, 713.703655230071, 0.205360110234583, 0.265693243104954, 0.0149608868181017, 8.63743734444652, 5
943.1, 31.86, -34.89, 45.98, 0.28, 0.74, NA, 14.12, 80.88, 12.61, -0.46, 25, "all", 100, 658.10282590796, 0.289113619099717, 3.5418151596959, 37.4429758188106, 794.121954691445, 645.382267980576, 668.46659631496, 0.269708766079905, 0.311462072508928, 0.0109996759162028, 5.89633934997073, 5
871.96, 33.75, -Inf, 44.72, 0.22, 1.03, NA, 10.97, Inf, 13, -0.81, 25, "all", 200, 606.4545344263, 0.232674870977095, 4.82822277579739, 38.8486507411277, 707.547674430349, 594.492712715604, 617.618692437262, 0.214046978348265, 0.253350951552637, 0.00977988766829178, 5.8082485233585, 5
967.13, 29.2, -31.38, 48.07, 0.29, 0.65, NA, 18.86, 79.45, 13.45, -0.36, 15, "all", 50, 748.42156774521, 0.325739358375656, 2.56120580961908, 35.2485247112822, 597.731086123584, 738.180845087039, 758.381075488123, 0.306719171438731, 0.346595444222119, 0.0100830481360444, 5.10085379967147, 6
