"rmax", "topt", "ctmin", "ctmax", "e", "eh", "q10", "thermal_safety_margin", "thermal_tolerance", "breadth", "skewness", "tAdaptation", "line", "mediumConcentration", "r_tref", "e_from_fit", "eh_from_fit", "th", "r_tadapt", "r_tref_0025", "r_tref_0975", "e_from_fit_0025", "e_from_fit_0975", "sd_e_from_fit", "sd_r_tref", "speed_quantile"
819.95, 29.23, -Inf, 32.33, 0.17, 10.01, NA, 3.1, Inf, 12.03, -9.84, 15, "all", 50, 675.25446192528, 0.167731164920727, 20, 31.1208319850276, 601.792085366425, 667.848116089253, 682.386042198914, 0.152302347172145, 0.182500897875958, 0.00751930918981964, 3.59252080389156, 2
828.05, 34.74, -Inf, 37.97, 0.16, NA, NA, 3.23, Inf, 12.7, NA, 15, "all", 100, 612.93082572928, 0.163100421334842, 20, 36.7146246814973, 547.988517804898, 609.501811988753, 616.939182923311, 0.15559018391796, 0.17132238336734, 0.00396714239412806, 1.91237308951187, 2
664.41, 34.58, -Inf, 38.03, 0.09, NA, NA, 3.45, Inf, 20.5, NA, 15, "all", 200, 560.87809046644, 0.0928121260420068, 20, 36.7896892875855, 526.247361084408, 555.499412765455, 566.687465873848, 0.0817047928437311, 0.106266689166106, 0.00605109050291177, 2.81455050158567, 2
821.8, 34.64, -Inf, 37.89, 0.16, NA, NA, 3.24, Inf, 13.1, NA, 20, "all", 50, 616.749634874757, 0.156643868375475, 20, 36.631756604719, 616.749634874757, 607.477633388187, 627.364196001638, 0.138182764330292, 0.177239561382718, 0.00992306329931755, 5.15571731817033, 2
786.88, 34.7, -Inf, 37.98, 0.14, NA, NA, 3.29, Inf, 14.29, NA, 20, "all", 100, 606.327590988334, 0.141719067954575, 20, 36.7304701293906, 606.327590988334, 602.593660419816, 611.191450606282, 0.131683692411916, 0.153637976209307, 0.00535894307723312, 2.2283076854787, 2
630.4, 34.51, -Inf, 37.95, 0.09, NA, NA, 3.44, Inf, 20.1, NA, 20, "all", 200, 530.609649543994, 0.0948687321356523, 20, 36.7078928271958, 530.609649543994, 525.301682382703, 535.602728833811, 0.0851053404055787, 0.107145953015243, 0.0056413554667625, 2.61991507229584, 2
853.03, 34.68, -Inf, 37.84, 0.19, NA, NA, 3.16, Inf, 10.95, NA, 25, "all", 50, 597.317213983643, 0.193937046905464, 20, 36.5851753809983, 679.362135794704, 590.169110853983, 604.488025092009, 0.181187526610516, 0.212185625120542, 0.00783222475354363, 3.73971408203303, 2
774.52, 34.83, -Inf, 38.04, 0.17, NA, NA, 3.21, Inf, 12.13, NA, 25, "all", 100, 561.764646039908, 0.17306523715913, 20, 36.7836379404839, 630.137118375113, 556.935062172407, 567.434681234495, 0.162544174458571, 0.186653125044294, 0.00619480707078743, 2.71462357616222, 2
704.81, 34.66, -Inf, 37.97, 0.13, NA, NA, 3.31, Inf, 15.23, NA, 25, "all", 200, 553.933690672521, 0.131348733931328, 20, 36.7180065078445, 604.386781481629, 549.371953079908, 559.432186925879, 0.121757023439697, 0.14412651354987, 0.00565523875790384, 2.55715522751279, 2
802.64, 29.09, -Inf, 32.19, 0.17, 10.02, NA, 3.1, Inf, 12.11, -9.85, 15, "all", 50, 662.166064234515, 0.16879605255161, 20, 30.9769714403444, 589.696237197739, 656.04074203357, 668.524773423932, 0.155640660937362, 0.182242729942299, 0.00663501554295022, 3.08834231950904, 3
